ID;Nome;CPF;Telefone;Valor_Divida;Dias_Atraso;Faixa_Atraso;Status;Valor_Pago;Operador;Data_Vencimento;Data_Pagamento
579;Renato Vieira;000.000.579-75;(21) 97230-2022;662.82;146;90+ dias;PAGO;662.82;Carlos M.;12/02/2025;01/04/2025
580;Camila Rodrigues;000.000.580-09;(31) 95887-8396;741.06;77;61-90 dias;NEGOCIANDO;122.88;Diego R.;28/06/2025;
581;Ermando Leite;000.000.581-90;(61) 98156-6811;7362.68;140;90+ dias;PAGO;7362.68;Rafael T.;11/01/2026;07/12/2025
582;Adriana Campos;000.000.582-70;(51) 99182-6184;7929.43;56;31-60 dias;PENDENTE;0.0;Ana Lima;24/10/2025;
583;Mariana Costa;000.000.583-51;(71) 97884-9947;656.6;25;0-30 dias;PENDENTE;0.0;Fernanda S.;04/06/2025;
584;Dilma Fonseca;000.000.584-32;(41) 99177-8471;7844.42;136;90+ dias;PENDENTE;0.0;Beatriz K.;11/10/2025;
585;Natália Mendes;000.000.585-13;(62) 95669-8167;1840.0;170;90+ dias;PAGO;1840.0;Ana Lima;30/07/2025;23/04/2026
586;Aurélio Bastos;000.000.586-02;(41) 98276-9247;1015.09;56;31-60 dias;PENDENTE;0.0;Fernanda S.;05/03/2025;
587;Valdeci Nogueira;000.000.587-85;(62) 91124-7138;3844.38;38;31-60 dias;PAGO;3844.38;Ana Lima;01/08/2025;11/04/2026
588;Carlos Eduardo Santos Neto;000.000.588-66;(48) 96201-6490;14686.4;74;61-90 dias;PENDENTE;0.0;Diego R.;22/11/2025;
589;Tatiane Cardoso;000.000.589-47;(92) 99475-3595;1373.45;38;31-60 dias;PENDENTE;0.0;Carlos M.;15/06/2025;
590;Thiago Nascimento;000.000.590-80;(11) 93507-1455;6405.01;78;61-90 dias;PAGO;6405.01;Fernanda S.;24/04/2025;01/12/2025
591;Simone Correia;000.000.591-61;(81) 97194-5267;5830.32;101;90+ dias;PENDENTE;0.0;Carlos M.;24/02/2025;
592;Claudia Andrade;000.000.592-42;(61) 92520-2267;1134.76;58;31-60 dias;QUEBRADO;283.81;Rafael T.;10/06/2025;
593;Elias Medeiros;000.000.593-23;(61) 95894-1166;37137.43;82;61-90 dias;PENDENTE;0.0;Carlos M.;03/01/2025;
594;Ivone Brito;000.000.594-04;(41) 94159-1484;667.72;77;61-90 dias;PAGO;667.72;Fernanda S.;06/03/2025;21/12/2025
595;Rodrigo Machado;000.000.595-95;(31) 96710-5822;12251.58;54;31-60 dias;QUEBRADO;5938.94;Beatriz K.;22/02/2025;
596;Paulo Henrique Lima;000.000.596-76;(71) 98992-8101;5737.47;74;61-90 dias;PENDENTE;0.0;Ana Lima;20/11/2025;
597;Elias Medeiros;000.000.597-57;(21) 99378-5146;1396.67;168;90+ dias;PAGO;1396.67;Fernanda S.;06/04/2025;09/02/2026
598;Wellington Moura Neto;000.000.598-38;(98) 93376-6151;4792.26;4;0-30 dias;PENDENTE;0.0;Carlos M.;05/11/2025;
599;Jailson Cavalcante;000.000.599-19;(85) 92225-7909;636.86;131;90+ dias;PAGO;636.86;Beatriz K.;29/03/2025;20/08/2025
600;Gustavo Borges;000.000.600-97;(81) 91348-5670;22307.93;164;90+ dias;EM ATRASO;0.0;Fernanda S.;21/01/2025;
